Date;Adj Close apple;Adj Close amazon;Adj Close IBM;Adj Close sep 500
31/12/2014;101.41906;310.350006;129.285675;2058.899902
02/01/2015;100.4543;308.519989;130.591095;2058.199951
05/01/2015;97.624336;302.190002;128.53627;2020.579956
06/01/2015;97.633545;295.290009;125.764221;2002.609985
07/01/2015;99.002556;298.420013;124.942291;2025.900024
08/01/2015;102.80648;300.459991;127.657913;2062.139893
09/01/2015;102.916725;296.929993;128.213913;2044.810059
12/01/2015;100.380791;291.410004;126.062386;2028.26001
13/01/2015;101.272049;294.73999;126.360535;2023.030029
14/01/2015;100.886154;293.269989;125.546654;2011.27002
15/01/2015;98.148056;286.950012;124.555489;1992.670044
16/01/2015;97.385445;290.73999;126.626427;2019.420044
20/01/2015;99.893822;289.440002;126.473312;2022.550049
21/01/2015;100.656441;297.25;122.557053;2032.119995
22/01/2015;103.275063;310.320007;125.216255;2063.149902
23/01/2015;103.807991;312.390015;125.603058;2051.820068
26/01/2015;103.918228;309.660004;125.997902;2057.090088
27/01/2015;100.279716;306.75;123.830261;2029.550049
28/01/2015;105.948822;303.910004;122.121933;2002.160034
29/01/2015;109.247391;311.779999;125.28878;2021.25
30/01/2015;107.648643;354.529999;123.540154;1994.98999
02/02/2015;108.999298;364.470001;124.628014;2020.849976
03/02/2015;109.017654;363.549988;127.698143;2050.030029
04/02/2015;109.853806;364.75;126.481407;2041.51001
05/02/2015;110.637886;373.890015;127.246925;2062.52002
06/02/2015;109.7062;374.279999;127.173882;2055.469971
09/02/2015;110.434944;370.559998;126.386787;2046.73999
10/02/2015;112.556557;373;128.667007;2068.590088
11/02/2015;115.194748;375.140015;128.374893;2068.530029
12/02/2015;116.652199;377.170013;128.634552;2088.47998
13/02/2015;117.224121;381.829987;130.160095;2096.98999
17/02/2015;117.915962;375.429993;130.614532;2100.340088
18/02/2015;118.736946;373.369995;131.612671;2099.679932
19/02/2015;118.487869;379;132.992111;2097.449951
20/02/2015;119.456444;383.660004;132.797379;2110.300049
23/02/2015;122.684975;380.140015;132.196899;2109.659912
24/02/2015;121.919357;378.589996;133.754959;2115.47998
25/02/2015;118.801491;385.369995;132.115738;2113.860107
26/02/2015;120.305084;384.799988;130.541504;2110.73999
27/02/2015;118.497116;380.160004;131.40979;2104.5
02/03/2015;119.078239;385.660004;130.225037;2117.389893
03/03/2015;119.327293;384.609985;130.671371;2107.780029
04/03/2015;118.570885;382.720001;129.364853;2098.530029
05/03/2015;116.606094;387.829987;130.79306;2101.040039
06/03/2015;116.781349;380.089996;128.618332;2071.26001
09/03/2015;117.279457;378.559998;130.460358;2079.429932
10/03/2015;114.853432;369.51001;128.058411;2044.160034
11/03/2015;112.759514;366.369995;127.238823;2040.23999
12/03/2015;114.798103;374.23999;128.19635;2065.949951
13/03/2015;114.004791;370.579987;125.193916;2053.399902
16/03/2015;115.259315;373.350006;127.466026;2081.189941
17/03/2015;117.187233;371.920013;127.368652;2074.280029
18/03/2015;118.50631;375.140015;129.681366;2099.5
19/03/2015;117.611565;373.23999;129.681366;2089.27002
20/03/2015;116.135651;378.48999;132.172577;2108.100098
23/03/2015;117.344032;375.109985;133.592651;2104.419922
24/03/2015;116.864365;374.089996;132.269943;2091.5
25/03/2015;113.811096;370.959991;129.186356;2061.050049
26/03/2015;114.604393;367.350006;130.314255;2056.149902
27/03/2015;113.69117;370.559998;130.160095;2061.02002
30/03/2015;116.569206;374.589996;132.002151;2086.23999
31/03/2015;114.779648;372.100006;130.241257;2067.889893
01/04/2015;114.613602;370.26001;129.170105;2059.689941
02/04/2015;115.600616;372.25;130.200714;2066.959961
06/04/2015;117.47319;377.040009;131.490952;2080.620117
07/04/2015;116.237122;374.410004;131.515259;2076.330078
08/04/2015;115.85891;381.200012;131.336777;2081.899902
09/04/2015;116.744446;383.540009;131.734344;2091.179932
10/04/2015;117.242592;382.649994;132.156326;2102.060059
13/04/2015;117.011948;382.359985;131.766861;2092.429932
14/04/2015;116.504623;385.109985;131.701889;2095.840088
15/04/2015;116.94738;383.450012;133.186935;2106.629883
16/04/2015;116.384705;386.040009;132.375427;2104.98999
17/04/2015;115.074821;375.559998;130.379196;2081.179932
20/04/2015;117.703796;389.51001;134.834229;2100.399902
21/04/2015;117.067322;391.179993;133.292389;2097.290039
22/04/2015;118.644707;389.799988;134.185013;2107.959961
23/04/2015;119.613266;389.98999;138.14502;2112.929932
24/04/2015;120.175949;445.100006;137.771729;2117.689941
27/04/2015;122.362091;438.559998;138.542633;2108.919922
28/04/2015;120.434235;429.309998;141.131256;2114.76001
29/04/2015;118.663147;429.369995;141.520706;2106.850098
30/04/2015;115.44381;421.779999;138.99704;2085.51001
01/05/2015;118.949089;422.869995;140.92836;2108.290039
04/05/2015;118.718491;423.040009;141.171768;2114.48999
05/05/2015;116.043396;421.190002;140.4496;2089.459961
06/05/2015;115.314674;419.100006;139.035126;2080.149902
07/05/2015;116.027908;426.880005;140.880661;2088
08/05/2015;118.213974;433.690002;142.273071;2116.100098
11/05/2015;117.009789;432.850006;140.987732;2105.330078
12/05/2015;116.592957;431.019989;140.518127;2099.120117
13/05/2015;116.722656;426.869995;141.943481;2098.47998
14/05/2015;119.445946;432.279999;143.401825;2121.100098
15/05/2015;119.279213;426;142.750931;2122.72998
18/05/2015;120.594551;425.23999;142.586151;2129.199951
19/05/2015;120.483398;421.709991;142.93219;2127.830078
